id,x0,y0,StartNode,StartTime,xf,yf,FinalNode
30776,365657.08,3714020.23,2266,328,365962.98,3713946.76,2252
30777,365780.01,3713998.66,3605,1548,365962.98,3713946.76,2252
30778,365691.68,3713893.93,3736,940,365122.39,3714074.92,114
30779,365636.44,3713984.45,2265,797,365962.98,3713946.76,2252
30780,365764.34,3713980.44,3562,1453,365962.98,3713946.76,2252
30781,365790.75,3713955.43,3564,611,365962.98,3713946.76,2252
30782,365691.68,3713893.93,3736,887,365122.39,3714074.92,114
30784,365731.14,3713987.48,2268,464,365962.98,3713946.76,2252
30786,365790.75,3713955.43,3564,584,365962.98,3713946.76,2252
30787,365732.01,3713995.78,2269,175,365962.98,3713946.76,2252
30788,365780.01,3713998.66,3605,1177,365962.98,3713946.76,2252
30789,365734.96,3714024.05,2270,751,365962.98,3713946.76,2252
30790,365839.36,3714002.23,60,377,365962.98,3713946.76,2252
30791,365737.35,3714052.82,2277,1482,365962.98,3713946.76,2252
30793,365785.14,3713929.45,2246,499,365962.98,3713946.76,2252
30795,365737.35,3714052.82,2277,1256,365962.98,3713946.76,2252
30796,365731.14,3713987.48,2268,327,365962.98,3713946.76,2252
30797,365732.01,3713995.78,2269,526,365962.98,3713946.76,2252
30798,365764.34,3713980.44,3562,231,365962.98,3713946.76,2252
30799,365780.01,3713998.66,3605,1460,365962.98,3713946.76,2252
30800,365790.75,3713955.43,3564,429,365962.98,3713946.76,2252
30801,365775.97,3713978.03,3563,563,365962.98,3713946.76,2252
30802,365661.46,3714061.41,2279,141,365962.98,3713946.76,2252
30803,365666.58,3714107.89,2300,869,365962.98,3713946.76,2252
30804,365732.01,3713995.78,2269,607,365962.98,3713946.76,2252
30805,365785.14,3713929.45,2246,490,365962.98,3713946.76,2252
30806,365691.68,3713893.93,3736,352,365122.39,3714074.92,114
30808,365764.34,3713980.44,3562,246,365962.98,3713946.76,2252
30809,365731.14,3713987.48,2268,147,365962.98,3713946.76,2252
30810,365772.25,3714016.45,2276,133,365962.98,3713946.76,2252
